@id,@lon,@lat,name,amenity,phone,website,smoking,outdoor_seating,opening_hours,addr:street,cuisine
309875534,21.4355937,41.9950681,Ирски паб Св. Патрик,cafe,+389(0)23256337 ,http://www.irishpub.com.mk/,yes,yes,10:00-24:00  Fr-Sa 10:00-01:00,Кеј 13 Ноември,international
309894643,21.4315704,41.9953933,Пелистер,restaurant,+3892 311 2482,https://www.pelisterhotel.com.mk/,yes,yes,Mo-Th 07:00-00:00 Fr-Sa 07:00-01:00 Su 10:30-00:00 ,Плоштад Македонија,italian
459669395,21.4345769,41.9947502,Веро 7,market,+389 2 3232640,https://vero.com.mk/Marketi/Vero7,,,08:00-22:00,Кеј 13 Ноември,
1577484301,21.3915561,42.0037659,Тц Сити Мол,mall,,http://skopjecitymall.mk/,,,10:00-22:00,Булевар Партизански Одереди,
1751563134,21.4245254,41.9947645,Pastel Wine & Dine,restaurant,+389 2 3214447,http://pastel.mk/,yes,yes,Mo-Fr 06:30-21:00 Sa 06:30-17:00  Su 06:30-16:00 ,Булевар Климент Охридски,international
1860365681,21.4414652,41.9930392,Веро 9,market,+389 2 3088400,https://vero.com.mk/Marketi/Vero9,,,09:00-22:00,Koco Racin,
2651660025,21.4413127,41.9931873,Vero Centar Веро Центар,market,,https://vero.com.mk/marketi/vero-centar/,,,09:00-22:00,Булевар Кочо Рацин,
2695392360,21.4343506,41.9954474,Casa Cubana,cafe,+389 72 311 794,/,yes,yes,Mo-Thu 10:00-24:00  Fr-Sa 10:00-01:00,Кеј 13 Ноември,
3099553252,21.626938,41.9612516,Burger King,restaurant,,/,no,yes,09:00-23:00, Кеј 13-ти Ноември,burger
3103985004,21.4330712,41.9958677,Telekom Trend Lounge Bar,cafe,+389 70 277 137,http://caffetrend.mk/za-nas/,yes,yes,Mo-Su 00:00-00:45 08:00-24:00,Кеј 13 Ноември,ice_cream pizza pasta 
309875534,21.4355937,41.9950681,Ирски паб Св. Патрик,cafe,+389(0)23256337 ,http://www.irishpub.com.mk/,yes,yes,10:00-24:00  Fr-Sa 10:00-01:00,Кеј 13 Ноември,international
309894643,21.4315704,41.9953933,Пелистер,restaurant,+3892 311 2482,https://www.pelisterhotel.com.mk/,yes,yes,Mo-Th 07:00-00:00 Fr-Sa 07:00-01:00 Su 10:30-00:00 ,Плоштад Македонија,italian
459669395,21.4345769,41.9947502,Веро 7,market,+389 2 3232640,https://vero.com.mk/Marketi/Vero7,,,08:00-22:00,Кеј 13 Ноември,
1751563134,21.4245254,41.9947645,Pastel Wine & Dine,restaurant,+389 2 3214447,http://pastel.mk/,yes,yes,Mo-Fr 06:30-21:00 Sa 06:30-17:00  Su 06:30-16:00 ,Булевар Климент Охридски,international
1860365681,21.4414652,41.9930392,Веро 9,market,+389 2 3088400,https://vero.com.mk/Marketi/Vero9,,,09:00-22:00,Koco Racin,
2005491711,21.4186437,41.9993554,Трговски Центар Буњаковец,mall,,/,,,,Партизански Одреди,
3341289752,21.4306195,41.9944452,Bistro Skopje,cafe,+389-72-264-947,/,no,yes,Mo-Fr 08:00-00:00, Sat 08:00-01:00,Македонија бр.41
3431226788,21.6275954,41.9601202,SIXT,other,38975448902,https://www.sixt.com/car-rental/macedonia/skopje/,no,no,24/7,Плоштад Македонија бр.7,
3503652921,21.3973638,41.9957004,Македонска пошта,other,+389-023-105-105,http://www.posta.com.mk,,,Mo-Fr 09:00-11:00 11:30-17:00,Орце Николов 46,
3505013893,21.4319604,41.9947506,Destan,restaurant,+3892-322-4063,/,yes,yes,08:00-23:00,11 Октомври,barbecue
3505013993,21.4317257,41.9950911,Ла Тераца,restaurant,+389 2 3113380,/,yes,yes,08:00-24:00 Fr-Sa 08:00-01:00,11 Октомври,italian
3506695093,21.3910004,42.0045421,Brooklyn Lounge Bar,restaurant,+389-75-302-081,/,yes,yes,08:00-00:00 Fr-Sa 08:00-01:00,Ljubljanska 4,italian
3506695094,21.4010606,41.9938931,Кам маркет Козле,market,+389 2 3085233,http://www.kam.com.mk,,,Mo-Sa 08:00-21:30 Su 08:00-16:00,Козле,
3634182103,21.3902099,42.0009171,ЕуроФарм Тафталиџе,other,+389 2 3079378,http://www.eurofarm.com.mk,,,Mo-Sa 08:00-22:00 Su 08:00-14:00,Лондонска,
3634182300,21.3900483,42.0009355,Специјал - Тафталиџе,other,+389 2 3089868,http://www.specijal.com.mk/,,,Mo-Su 08:00-24:00,Московска,
3635145515,21.3914204,42.0017143,Кам маркет Тафталиџе,market,+389 2 3074733,http://www.kam.com.mk,,,Mo-Sa 07:30-21:30 Su 07:30-16:00,Лондонска,
3678871631,21.3923224,42.0047189,Нептун Карпош,other,+3892-3080-098,https://www.neptun.mk,,,Mo-Su 10:00-22:00,Љубљанска,
4144098451,21.3909854,42.0046642,Комерцијална Банка,other,+3892-3168-168,https://www.kb.com.mk/,,,Mo-Fr 07:30-17:00 Sa 09:00-12:00,Орце Николов бр.3,
4149490289,21.4300742,41.9933026,Amigos Мексиканска Кантина,restaurant,+38971-230-314,http://www.amigos.com.mk/,yes,yes,Mo-Th 09:00-00:00 Fr-Sa 09:00-01:00 Su 10:00-00:00,Македонија 11,mexican
4151705280,21.4207815,41.9948735,Веро 5,market,+389 2 3220244,https://vero.com.mk/Marketi/Vero5,,,08:00-22:00 May 01 off,М.Т.Гологанов,
4183580089,21.6276146,41.9610488,Cakes & Bakes,cafe,+389 2 258 0922,/,yes,yes,24/7,Аеродром Петровец,sandwich
4555747517,20.9511304,41.5112893,Setec,other,+38945 224 112,https://www.setec.mk/,,,Mo-Fr 09:00-21:00 Sa 09:00-20:00,Филип Втори бр.3,
